id;text;description;language;answer_type;jhi_order;threat_area;questionnaire_id
2001;Is any part of the processing of personal data performed through the internet?;When the processing of personal data is performed fully or partially through the open Internet, possible threats from external online attackers increase (e.g. Denial of Service, SQL injection, Man-in-the-Middle attacks), especially when the service is available (and, thus, traceable/known) to all internet users.;EN;MULTIPLE_CHOICE;1;NETWORK_AND_TECHNICAL_RESOURCES;3
2002;Is it possible to provide access to an internal personal data processing system through the internet (e.g. for certain users or groups of users)?;When access to an internal data processing system is provided through the internet, the likelihood of external threats increases (e.g. due to external online attackers). At the same time the likelihood of (accidental or intentional) misuse of data by the users also increases (e.g. accidental disclosure of personal data when working in public spaces). Special attention should be given to cases where remote management/administration of the IT system is allowed.;EN;MULTIPLE_CHOICE;2;NETWORK_AND_TECHNICAL_RESOURCES;3
2003;Is the personal data processing system interconnected to another external or internal (to your organization) IT system or service?;Connection to external IT systems may introduce additional threats due to the threats (and potential security flaws) that are inherent to those systems. The same applies also to internal systems, taking into account that, if not appropriately configured, such connections may allow access (to the personal data) to more persons within the organization (which are not in principle authorized for such access).;EN;MULTIPLE_CHOICE;3;NETWORK_AND_TECHNICAL_RESOURCES;3
2004;Can unauthorized individuals easily access the data processing environment?;Although focus has been put on electronic systems and services, the physical environment (relevant to these systems and services) is an important aspect that, if not adequately safeguarded, can seriously compromise security (e.g. by allowing unauthorized parties to gain physical access to the IT equipment and network components or failing to provide protection of the computer room in the event of a physical disaster).;EN;MULTIPLE_CHOICE;4;NETWORK_AND_TECHNICAL_RESOURCES;3
2005;Is the personal data processing system designed, implemented or maintained without following relevant best practices?;Poorly designed, implemented and/or maintained hardware and software components can pose serious risks to information security. To this end, good or best practices accumulate the experience of prior events and can be regarded as practical guidelines of how to avoid exposure and achieve certain levels of resilience.;EN;MULTIPLE_CHOICE;5;NETWORK_AND_TECHNICAL_RESOURCES;3
2101;Are the roles and responsibilities with regard to personal data processing vague or not clearly defined?;When roles and responsibilities are not clearly defined, access (and further processing) of personal data may be uncontrolled, resulting to unauthorized use of resources and compromising the overall security of the system.;EN;MULTIPLE_CHOICE;1;PROCEDURES_RELATED_TO_THE_PROCESSING_OF_PERSONAL_DATA;3
2102;Is the acceptable use of the network, system and physical resources within the organization ambiguous or not clearly defined;When acceptable use of resources is not clearly mandated, security threats might arise due to misunderstanding or intentional misuse of the system. The clear definition of policies for network, system and physical resources can reduce potential risks.;EN;MULTIPLE_CHOICE;2;PROCEDURES_RELATED_TO_THE_PROCESSING_OF_PERSONAL_DATA;3
2103;Are the employees allowed to bring and use their own devices to connect to the personal data processing system?;Employees using their personal devices within the organization could increase the risk of data leakage or unauthorized access to the information system. Moreover, as devices are not centrally controlled, they may introduce additional bugs or viruses into the system.;EN;MULTIPLE_CHOICE;3;PROCEDURES_RELATED_TO_THE_PROCESSING_OF_PERSONAL_DATA;3
2104;Are employees allowed to transfer, store or otherwise process personal data outside the premises of the organization?;Processing of personal data outside the premises of the organization can offer a lot of flexibility, but at the same time introduces additional risks, both related to the transmission of information through possibly insecure network channels (e.g. open Wi-Fi networks), as well as unauthorised use of this information.;EN;MULTIPLE_CHOICE;4;PROCEDURES_RELATED_TO_THE_PROCESSING_OF_PERSONAL_DATA;3
2105;Can personal data processing activities be carried out without log files being created?;The lack of appropriate logging and monitoring mechanisms can increase intentional or accidental abuse of processes/procedures and resources, resulting to the subsequent abuse of personal data. ;EN;MULTIPLE_CHOICE;5;PROCEDURES_RELATED_TO_THE_PROCESSING_OF_PERSONAL_DATA;3
