id;name;created;modified;jhi_order;likelihood
10001;Yes;now();now();1;HIGH
10002;No;now();now();2;LOW
10003;Less than 20%;now();now();1;LOW
10004;Between 20% and 40%;now();now();2;LOW_MEDIUM
10005;Between 40% and 60%;now();now();3;MEDIUM
10006;Between 60% and 80%;now();now();4;MEDIUM_HIGH
10007;Greater than 80%;now();now();5;HIGH
10008;No, process and procedures are not documented or known informally;now();now();1;LOW
10009;Mostly not, without a well-defined procedure and documentation;now();now();2;LOW_MEDIUM
10010;On average, with a defined procedure and documentation;now();now();3;MEDIUM
10011;Mostly yes, sustained with a strategic plan and a well-defined procedure and documentation;now();now();4;MEDIUM_HIGH
10012;Yes, the process and the documentation are proactively developed and maintained with constant effort and continuous improvement;now();now();5;HIGH
10013;No;now();now();3;LOW
10014;Yes;now();now();1;HIGH
10015;Can''t determine it;now();now();2;MEDIUM
10016;Can''t determine it;now();now();3;MEDIUM
10017;Yes, also the mitigation processes are not yet defined;now();now();1;LOW
10018;Yes, but mitigation processes are already defined;now();now();2;LOW_MEDIUM
10019;No, but the process and the documentation are not well-defined;now();now();4;MEDIUM_HIGH
10020;No, the process and the documentation are proactively developed and maintained with constant effort and continuous improvement;now();now();5;HIGH
10021;Yes, sustained with a strategic plan and a well-defined procedure and documentation but with limited coverage;now();now();3;MEDIUM
10022;Yes, sustained with a strategic plan and a well-defined procedure and documentation and with extended coverage;now();now();4;MEDIUM_HIGH
10023;Between 20% and 50%;now();now();2;LOW_MEDIUM
10024;Between 50% and 80%;now();now();3;MEDIUM
10025;Greater than 80%;now();now();4;MEDIUM_HIGH
10026;Greater than 80% and maintained with constant effort and continuous improvement;now();now();5;HIGH
10027;No;now();now();1;HIGH
10028;Yes, only on internal networks;now();now();2;MEDIUM
10029;Yes, accessible via Internet;now();now();3;LOW
10030;Yes, and the security posture of supply chain is monitored;now();now();2;MEDIUM
10031;Yes, but security posture of supply chain is not under my control;now();now();1;LOW
10032;No;now();now();3;HIGH
10033;Only on internal network;now();now();1;HIGH
10034;Only exposed on the Internet;now();now();2;MEDIUM
10035;Both on internal network and exposed on the Internet;now();now();3;LOW
10036;No Wi-Fi access-points available;now();now();5;HIGH
10037;Yes, without WPA2;now();now();1;LOW
10038;Yes, with WPA2 and Pre-Shared key authentication;now();now();2;LOW_MEDIUM
10039;Yes, with WPA2 and Certificate authentication;now();now();3;MEDIUM
10040;Yes, with WPA2 and both Pre-Shared key and Certificate authentication;now();now();4;MEDIUM_HIGH
10041;No;now();now();1;LOW
10042;Policies are available but not applied by anyone;now();now();2;LOW_MEDIUM
10043;Yes, but the policies are not well defined;now();now();3;MEDIUM
10044;Yes, the policies are well defined;now();now();4;MEDIUM_HIGH
10045;Yes, the policies are well defined and well integrated with software solutions;now();now();5;HIGH
10046;Yes;now();now();1;LOW
10047;No;now();now();2;HIGH
10048;Only afterward an attack;now();now();1;LOW
10049;Less than once a year;now();now();2;LOW_MEDIUM
10050;More than once a year;now();now();3;MEDIUM
10051;Every few weeks;now();now();4;MEDIUM_HIGH
10052;Regularly with a well-defined process;now();now();5;HIGH
10053;Only DMZ is segregate;now();now();2;LOW_MEDIUM
10054;Critical subnets are segregate;now();now();3;MEDIUM
10055;Every identified subnet is segregate;now();now();4;MEDIUM_HIGH
10056;Every identified subnet is segregate with a defined process, constant effort and continuous improvement;now();now();5;HIGH
10057;Only on critical systems, with a defined procedure and documentation;now();now();3;MEDIUM
10058;Mostly not;now();now();2;LOW_MEDIUM
10059;Only on critical systems;now();now();3;MEDIUM
10060;Mostly yes;now();now();4;MEDIUM_HIGH
10061;Yes, with a defined process, constant effort and continuous improvement;now();now();5;HIGH
10062;Only for critical systems, without a well-defined procedure and documentation;now();now();2;LOW_MEDIUM
10063;Only on critical systems, sustained with a strategic plan and a well-defined procedure and documentation;now();now();3;MEDIUM
10064;Yes, sustained with a strategic plan and a well-defined procedure and documentation and with extended coverage;now();now();4;MEDIUM_HIGH
10065;Yes, the process and the documentation are proactively developed and maintained with constant effort and continuous improvement;now();now();5;HIGH
10066;Not applicable;now();now();6;NOT_APPLICABLE
10067;Less than 20%;now();now();1;HIGH
10068;Between 20% and 40%;now();now();2;MEDIUM_HIGH
10069;Between 40% and 60%;now();now();3;MEDIUM
10070;Between 60% and 80%;now();now();4;LOW_MEDIUM
10071;Greater than 80%;now();now();5;LOW
