questions_id;answers_id
10019;10003
10019;10004
10019;10005
10019;10006
10019;10007
10020;10008
10020;10009
10020;10010
10020;10011
10020;10012
10021;10003
10021;10004
10021;10005
10021;10006
10021;10007
10022;10003
10022;10004
10022;10005
10022;10006
10022;10007
10023;10003
10023;10004
10023;10005
10023;10006
10023;10007
10024;10003
10024;10004
10024;10005
10024;10006
10024;10007
10025;10008
10025;10009
10025;10010
10025;10011
10025;10012
10026;10008
10026;10009
10026;10010
10026;10011
10026;10012
10027;10008
10027;10009
10027;10010
10027;10011
10027;10012
10028;10008
10028;10009
10028;10010
10028;10011
10028;10012
10029;10013
10029;10014
10029;10015
10030;10008
10030;10009
10030;10010
10030;10011
10030;10012
10031;10008
10031;10009
10031;10010
10031;10011
10031;10012
10032;10008
10032;10009
10032;10010
10032;10011
10032;10012
10033;10016
10033;10017
10033;10018
10033;10019
10033;10020
10034;10008
10034;10009
10034;10010
10034;10011
10034;10012
10036;10003
10036;10023
10036;10024
10036;10025
10036;10026
10037;10027
10037;10028
10037;10029
10038;10003
10038;10023
10038;10024
10038;10025
10038;10026
10039;10008
10039;10009
10039;10010
10039;10011
10039;10012
10040;10030
10040;10031
10040;10032
10041;10003
10041;10023
10041;10024
10041;10025
10041;10026
10042;10003
10042;10004
10042;10005
10042;10006
10042;10007
10043;10033
10043;10034
10043;10035
10044;10003
10044;10023
10044;10024
10044;10025
10044;10026
10045;10036
10045;10037
10045;10038
10045;10039
10045;10040
10046;10003
10046;10023
10046;10024
10046;10025
10046;10026
10047;10008
10047;10009
10047;10021
10047;10022
10047;10012
10049;10003
10049;10004
10049;10005
10049;10006
10049;10007
10050;10041
10050;10042
10050;10043
10050;10044
10050;10045
10051;10046
10051;10047
10052;10008
10052;10009
10052;10021
10052;10022
10052;10012
10053;10003
10053;10004
10053;10005
10053;10006
10053;10007
10054;10003
10054;10023
10054;10024
10054;10025
10054;10026
10055;10003
10055;10023
10055;10024
10055;10025
10055;10026
10056;10003
10056;10023
10056;10024
10056;10025
10056;10026
10057;10003
10057;10023
10057;10024
10057;10025
10057;10026
10058;10008
10058;10009
10058;10021
10058;10022
10058;10012
10059;10003
10059;10023
10059;10024
10059;10025
10059;10026
10060;10048
10060;10049
10060;10050
10060;10051
10060;10052
10061;10048
10061;10049
10061;10050
10061;10051
10061;10052
10062;10008
10062;10009
10062;10010
10062;10011
10062;10012
10063;10003
10063;10023
10063;10024
10063;10025
10063;10026
10064;10041
10064;10053
10064;10054
10064;10055
10064;10056
10065;10008
10065;10009
10065;10057
10065;10011
10065;10012
10066;10003
10066;10023
10066;10024
10066;10025
10066;10026
10067;10008
10067;10009
10067;10021
10067;10022
10067;10012
10068;10027
10068;10058
10068;10059
10068;10060
10068;10061
10069;10027
10069;10062
10069;10063
10069;10064
10069;10065
10070;10027
10070;10062
10070;10063
10070;10064
10070;10065
10071;10008
10071;10009
10071;10010
10071;10011
10071;10012
10072;10008
10072;10009
10072;10010
10072;10011
10072;10012
10074;10008
10074;10009
10074;10010
10074;10011
10074;10012
10075;10003
10075;10004
10075;10005
10075;10006
10075;10007
10076;10003
10076;10023
10076;10024
10076;10025
10076;10026
10078;10003
10078;10004
10078;10005
10078;10006
10078;10007
10080;10008
10080;10009
10080;10010
10080;10011
10080;10012
