id;name;created;modified;jhi_order;question_type;answer_type;questionnaire_id
10019;How many employees are aware of the risks of sharing “personal” or ”work related” information on social networks?;now();now();1;REGULAR;PERC5;20000
10020;Is the LPA able to monitor its reputation level on the Internet?;now();now();2;REGULAR;RANGE5;20000
10021;How many employees can recognise Social Engineering tricks and react to this threat? e.g. phishing attempt, spam, fake telephone calls (vishing), fake websites or malicious USBs dropped on the walkway;now();now();3;RELEVANT;PERC5;20000
10022;How many employees are trained with simulated phishing campaigns and regular awareness program?;now();now();4;REGULAR;PERC5;20000
10023;How many employees are trained to identify and correctly protect LPA''s sensitive and non-sensitive data?;now();now();5;REGULAR;PERC5;20000
10024;How many employees are trained to distinguish a legitimate warning message (requesting permission for an update or from fake antivirus) from a fake one, and properly notify the security team, if something terrible or questionable happens?;now();now();6;REGULAR;PERC5;20000
10025;Are the physical security measures, not only well defined, but also in line with the best practices and standards? E.g. registry of guests, guest escorting procedure, segregate internal areas, etc.;now();now();8;REGULAR;RANGE5;20000
10026;In the case of existing branch offices, are they also compliant with the same policies, standards and best practices of the headquarter? E.g. when to use the VPN or proxy connections, policies of the antiviruses, documents classification and disposal.;now();now();9;REGULAR;RANGE5;20000
10027;Is the concept of “Data Classification” applied within the LPA?;now();now();10;REGULAR;RANGE5;20000
10028;Are sensitive documents and devices correctly disposed at the end of their life-cycle? E.g. dismissed laptops, servers, mobile terminals;now();now();12;REGULAR;RANGE5;20000
10029;Can you assure that all passwords in your LPA are not stored into easily accessible media? e.g. easily accessible files, via FTP or mobile terminals?;now();now();14;REGULAR;RANGE3;20000
10030;Is Strong Authentication used in your LPA? E.g. tokens, two-factor authentication.;now();now();15;REGULAR;RANGE5;20000
10031;Are all the information related to user accounts (e.g. last n sessions, IP used addresses, ...) correctly stored and analysed in log files?;now();now();16;RELEVANT;RANGE5;20000
10032;Is the vulnerability scanning a regularly scheduled maintenance task in the LPA?;now();now();17;RELEVANT;RANGE5;20000
10033;Are there unnecessary services on systems exposed in Internet? E.g., misconfigured FTP servers, abandoned web-exposed servers, unnecessary shares or server ports, zombie servers, etc.;now();now();18;RELEVANT;RANGE5;20000
10034;Is there a strict firewall rules management?;now();now();19;REGULAR;RANGE5;20000
10036;What percentage of software and applications are updated within a well-defined process? E.g. internally developed coding best practices to improve security of the applications.;now();now();22;RELEVANT;PERC5;20000
10037;Are custom (e.g. internally developed) applications used? Are there custom applications accessible via Internet?;now();now();20;REGULAR;RANGE3;20000
10038;What percentage of custom applications has been carried out according to the “Secure Coding” practices? E.g. recognised best practices such as Common Criteria or Secure software development lifecycle (OWASP).;now();now();23;REGULAR;PERC5;20000
10039;Accoriding to GDPR law, in case of custom application development, are you using security-by-design and privacy-by-design best practices?;now();now();24;REGULAR;RANGE5;20000
