questions_id;attack_strategies_id
10019;10001
10020;10001
10021;10002
10022;10002
10023;10003
10024;10003
10024;10010
10025;10004
10025;10021
10025;10022
10025;10024
10025;10025
10025;10026
10026;10004
10027;10004
10028;10004
10029;10005
10030;10005
10031;10005
10032;10006
10033;10006
10034;10006
10036;10006
10036;10015
10037;10007
10037;10014
10038;10007
10038;10011
10038;10014
10039;10011
10040;10011
10040;10007
10040;10014
10041;10011
10041;10014
10042;10008
10043;10008
10044;10009
10045;10009
10046;10009
10047;10012
10049;10013
10050;10013
10051;10013
10052;10014
10053;10006
10053;10015
10054;10016
10055;10017
10055;10012
10056;10017
10057;10017
10058;10010
10058;10018
10059;10018
10060;10018
10061;10018
10062;10019
10063;10019
10064;10009
10064;10019
10064;10020
10065;10019
10065;10020
10066;10019
10066;10010
10067;10020
10067;10006
10068;10020
10069;10020
10070;10020
10071;10020
10072;10021
10072;10022
10072;10024
10072;10025
10072;10026
10074;10021
10075;10021
10075;10022
10075;10023
10075;10024
10075;10025
10075;10026
10076;10022
10076;10026
10078;10023
10080;10004
