id;name;created;modified;jhi_order;likelihood;asset_id;asset_category_id
66;IPR;${now};${now};1;NOT_AVAILABLE;null;3
67;Innovation;${now};${now};2;NOT_AVAILABLE;null;4
68;Data;${now};${now};3;NOT_AVAILABLE;null;5
69;Reputation;${now};${now};4;NOT_AVAILABLE;null;6
70;Brand;${now};${now};5;NOT_AVAILABLE;null;7
71;Key competences and human capital;${now};${now};6;NOT_AVAILABLE;null;8
72;Organizational capital;${now};${now};7;NOT_AVAILABLE;null;9
73;Cash on deposit and on hand;${now};${now};1;NOT_AVAILABLE;1;null
74;Certificates of deposit;${now};${now};2;NOT_AVAILABLE;2;null
75;Equities;${now};${now};3;NOT_AVAILABLE;3;null
76;Corporate bonds and stock;${now};${now};4;NOT_AVAILABLE;4;null
77;Temporary investments;${now};${now};5;NOT_AVAILABLE;5;null
78;Insurance premiums;${now};${now};6;NOT_AVAILABLE;6;null
79;Row material and stocks;${now};${now};7;NOT_AVAILABLE;7;null
80;Land;${now};${now};8;NOT_AVAILABLE;8;null
81;Buildings;${now};${now};9;NOT_AVAILABLE;9;null
82;Plants and Machinery;${now};${now};10;NOT_AVAILABLE;10;null
83;Current assets (e.g., cash, equities, stocks, etc.);${now};${now};9;NOT_AVAILABLE;null;1
84;Fixed Assets (buildings, equipment and machinery, etc.);${now};${now};10;NOT_AVAILABLE;null;2
85;Before the attack status restoration (service, data, etc.);${now};${now};1;NOT_AVAILABLE;null;null
86;Increased security;${now};${now};2;NOT_AVAILABLE;null;null
87;Legal or litigation costs and attorney fees;${now};${now};3;NOT_AVAILABLE;null;null
88;Notification and regulatory compliance costs;${now};${now};4;NOT_AVAILABLE;null;null
89;Liability costs;${now};${now};5;NOT_AVAILABLE;null;null
90;Customer breach notification costs;${now};${now};6;NOT_AVAILABLE;null;null
91;Post breach customer protection or care costs;${now};${now};7;NOT_AVAILABLE;null;null
92;Lost customers recovery;${now};${now};8;NOT_AVAILABLE;null;null
93;Public relations;${now};${now};9;NOT_AVAILABLE;null;null
94;Increase of insurance premiums;${now};${now};10;NOT_AVAILABLE;null;null
95;Loss of revenues;${now};${now};11;NOT_AVAILABLE;null;null
96;Increased cost to raise debt;${now};${now};12;NOT_AVAILABLE;null;null
97;Value of lost or not fulfilled contract revenues;${now};${now};13;NOT_AVAILABLE;null;null
98;Lost or non fulfilled contracts;${now};${now};14;NOT_AVAILABLE;null;null
99;Equipment;${now};${now};11;NOT_AVAILABLE;11;null
100;Forniture and office supplies;${now};${now};11;NOT_AVAILABLE;12;null




