id;name;frequency;skill;resources;likelihood;created;modified;description
1;OSINT;HIGH;LOW;LOW;HIGH;now();now();Open Source Intelligence (OSINT) is the collection and analysis of information that is gathered from public, or open, sources. OSINT is primarily used in national security, law enforcement, and business intelligence functions and is of value to analysts who use non-sensitive intelligence in answering classified, unclassified, or proprietary intelligence requirements across the previous intelligence disciplines.
2;*SHING;HIGH;MEDIUM;MEDIUM;MEDIUM_HIGH;now();now();Attack patterns within this category focus on the manipulation and exploitation of people. The techniques defined by each pattern are used to convince a target into performing actions or divulging confidential information that benefit the adversary, often resulting in access to computer systems or facilities. While similar to a confidence trick or simple fraud, the term typically applies to trickery or deception for the purpose of information gathering, fraud, or computer system access. In most cases, the adversary never comes face-to-face with the victim.
3;Human Behaviour Manipulation;MEDIUM;MEDIUM;MEDIUM;MEDIUM;now();now();An adversary exploits inherent human psychological predisposition to influence a targeted individual or group to solicit information or manipulate the target into performing an action that serves the adversary''s interests. Many interpersonal social engineering techniques do not involve outright deception, although they can. Many are subtle ways of manipulating a target to remove barriers, make the target feel comfortable, and produce an exchange in which the target is either more likely to share information directly, or let key information slip out unintentionally.
4;Human Targeted Attack;LOW;HIGH;HIGH;LOW;now();now();An adversary engages an individual using any combination of social engineering methods for the purpose of extracting information. Accurate contextual and environmental queues, such as knowing important information about the target company or individual can greatly increase the success of the attack and the quality of information gathered. Authentic mimicry combined with detailed knowledge increases the success of elicitation attacks.
5;Impersonification;MEDIUM;MEDIUM;MEDIUM;MEDIUM;now();now();Impersonation is one of several social engineering tools used to gain access to a system or network in order to commit fraud, industrial espionage or identity theft. The social engineer impersonates or plays the role of someone you are likely to trust or obey convincingly enough to fool you into allowing access to your office, to information, or to your information systems.
6;Scanning (Footprinting);HIGH;LOW;LOW;HIGH;now();now();An adversary engages in probing and exploration activities to identify constituents and properties of the target. Footprinting is a general term to describe a variety of information gathering techniques, often used by attackers in preparation for some attack. It consists of using tools to learn as much as possible about the composition, configuration, and security mechanisms of the targeted application, system or network.
7;Fuzzing;MEDIUM;MEDIUM;LOW;MEDIUM_HIGH;now();now();In this attack pattern, the adversary leverages fuzzing to try to identify weaknesses in the system. Fuzzing is a software security and functionality testing method that feeds randomly constructed input to the system and looks for an indication that a failure in response to that input has occurred. Fuzzing treats the system as a black box and is totally free from any preconceptions or assumptions about the system. Fuzzing can help an attacker discover certain assumptions made about user input in the system.
8;Protocol Analysis & Abuse;LOW;MEDIUM;LOW;MEDIUM;now();now();An adversary engages in activities to decipher and/or decode protocol information for a network or application communication protocol used for transmitting information between interconnected nodes or systems on a packet-switched data network. While this type of analysis involves the analysis of a networking protocol inherently, it does not require the presence of an actual or physical network. Depending upon the methods used the process may involve observing, interacting, and modifying actual communications occurring between hosts. The goal of protocol analysis is to derive the data transmission syntax, as well as to extract the meaningful content, including packet or content delimiters used by the protocol.
9;Gain a foothold;MEDIUM;LOW;MEDIUM;MEDIUM;now();now();To get a strong position that will allow for improvement later. (Waiting for description)
10;Malware;HIGH;MEDIUM;MEDIUM;MEDIUM_HIGH;now();now();The word Malware is derived from the term ''Malicious Software''. Any piece of software that performs undesirable operations such as data theft or some other type of computer compromise can be categorised as Malware. Malware is a broad term that can refer to various types of malicious programs. […] The main types of Malware, namely: Trojans, Viruses, Worms, and Spyware. The symptoms caused by these different types of malware may sometimes be similar. However, they mainly differ in the way they spread and infect systems.
