questions_id;answers_id
19;3
19;4
19;5
19;6
19;7
20;8
20;9
20;10
20;11
20;12
21;3
21;4
21;5
21;6
21;7
22;3
22;4
22;5
22;6
22;7
23;3
23;4
23;5
23;6
23;7
24;3
24;4
24;5
24;6
24;7
25;8
25;9
25;10
25;11
25;12
26;8
26;9
26;10
26;11
26;12
27;8
27;9
27;10
27;11
27;12
28;8
28;9
28;10
28;11
28;12
29;13
29;14
29;15
30;8
30;9
30;10
30;11
30;12
31;8
31;9
31;10
31;11
31;12
32;8
32;9
32;10
32;11
32;12
33;16
33;17
33;18
33;19
33;20
34;8
34;9
34;10
34;11
34;12
35;8
35;9
35;21
35;22
35;12
36;3
36;23
36;24
36;25
36;26
37;27
37;28
37;29
38;3
38;23
38;24
38;25
38;26
39;8
39;9
39;10
39;11
39;12
40;30
40;31
40;32
41;3
41;23
41;24
41;25
41;26
42;3
42;4
42;5
42;6
42;7
43;33
43;34
43;35
44;3
44;23
44;24
44;25
44;26
45;36
45;37
45;38
45;39
45;40
46;3
46;23
46;24
46;25
46;26
47;8
47;9
47;21
47;22
47;12
48;3
48;23
48;24
48;25
48;26
49;3
49;4
49;5
49;6
49;7
50;41
50;42
50;43
50;44
50;45
51;46
51;47
52;8
52;9
52;21
52;22
52;12
53;3
53;23
53;24
53;25
53;26
54;3
54;23
54;24
54;25
54;26
55;3
55;23
55;24
55;25
55;26
56;3
56;23
56;24
56;25
56;26
57;3
57;23
57;24
57;25
57;26
58;8
58;9
58;21
58;22
58;12
59;3
59;23
59;24
59;25
59;26
60;48
60;49
60;50
60;51
60;52
61;48
61;49
61;50
61;51
61;52
62;8
62;9
62;10
62;11
62;12
63;3
63;23
63;24
63;25
63;26
64;41
64;53
64;54
64;55
64;56
65;8
65;9
65;57
65;11
65;12
66;3
66;23
66;24
66;25
66;26
67;8
67;9
67;21
67;22
67;12
68;27
68;58
68;59
68;60
68;61
69;27
69;62
69;63
69;64
69;65
70;27
70;62
70;63
70;64
70;65
71;8
71;9
71;10
71;11
71;12
72;8
72;9
72;10
72;11
72;12
73;8
73;9
73;10
73;11
73;12
74;8
74;9
74;10
74;11
74;12
75;3
75;4
75;5
75;6
75;7
76;3
76;23
76;24
76;25
76;26
78;3
78;4
78;5
78;6
78;7
79;8
79;9
79;10
79;11
79;12
80;8
80;9
80;10
80;11
80;12
81;8
81;9
81;10
81;11
81;12
