questions_id;attack_strategies_id
19;1
20;1
21;2
22;2
23;3
24;3
24;10
25;4
25;21
25;22
25;24
25;25
25;26
26;4
27;4
28;4
29;5
30;5
31;5
32;6
33;6
34;6
35;6
35;20
36;6
36;15
37;7
38;7
39;11
40;11
41;11
41;14
42;8
43;8
44;9
45;9
46;9
47;12
48;12
49;13
50;13
51;13
52;14
53;6
53;15
54;16
55;17
56;17
57;17
58;10
58;18
59;18
60;18
61;18
62;19
63;19
64;9
64;19
64;20
65;19
65;20
66;19
66;10
67;20
67;6
68;20
69;20
70;20
71;20
72;21
72;22
72;24
72;25
72;26
73;21
73;22
73;23
73;25
73;26
74;21
75;21
75;22
75;23
75;24
75;25
75;26
76;22
76;26
77;26
77;21
77;22
77;24
77;25
78;23
